id,bbox,sick
Train_1234.jpg,"[0, 0, 64, 43]",1
Train_1790.jpg,"[64, 0, 64, 43]",1
Train_51.jpg,"[128, 0, 64, 43]",1
Train_336.jpg,"[192, 0, 64, 43]",1
Train_678.jpg,"[256, 0, 64, 43]",0
Train_1002.jpg,"[320, 0, 64, 43]",0
Train_1264.jpg,"[448, 0, 64, 43]",1
Train_81.jpg,"[512, 0, 64, 43]",1
Train_35.jpg,"[576, 0, 64, 43]",1
Train_1593.jpg,"[640, 0, 64, 43]",0
Train_816.jpg,"[704, 0, 64, 43]",1
Train_1075.jpg,"[768, 0, 64, 43]",1
Train_244.jpg,"[832, 0, 64, 43]",1
Train_1643.jpg,"[896, 0, 64, 43]",1
Train_701.jpg,"[1024, 0, 64, 43]",0
Train_1662.jpg,"[1088, 0, 64, 43]",1
Train_1115.jpg,"[1216, 0, 64, 43]",0
Train_959.jpg,"[1344, 0, 64, 43]",0
Train_484.jpg,"[1472, 0, 64, 43]",1
Train_702.jpg,"[1536, 0, 64, 43]",1
Train_520.jpg,"[1664, 0, 64, 43]",1
Train_1205.jpg,"[1728, 0, 64, 43]",1
Train_1119.jpg,"[64, 43, 64, 43]",1
Train_554.jpg,"[128, 43, 64, 43]",1
Train_1212.jpg,"[192, 43, 64, 43]",1
Train_1258.jpg,"[256, 43, 64, 43]",1
Train_642.jpg,"[320, 43, 64, 43]",0
Train_366.jpg,"[384, 43, 64, 43]",0
Train_1276.jpg,"[448, 43, 64, 43]",1
Train_1692.jpg,"[512, 43, 64, 43]",1
Train_1369.jpg,"[576, 43, 64, 43]",1
Train_1408.jpg,"[640, 43, 64, 43]",0
Train_1160.jpg,"[704, 43, 64, 43]",0
Train_1730.jpg,"[768, 43, 64, 43]",1
Train_1644.jpg,"[832, 43, 64, 43]",1
Train_399.jpg,"[896, 43, 64, 43]",1
Train_1781.jpg,"[960, 43, 64, 43]",0
Train_574.jpg,"[1024, 43, 64, 43]",1
Train_480.jpg,"[1088, 43, 64, 43]",1
Train_1609.jpg,"[1152, 43, 64, 43]",1
Train_874.jpg,"[1280, 43, 64, 43]",1
Train_418.jpg,"[1344, 43, 64, 43]",1
Train_640.jpg,"[1408, 43, 64, 43]",1
Train_1779.jpg,"[1600, 43, 64, 43]",1
Train_1554.jpg,"[1728, 43, 64, 43]",1
Train_1197.jpg,"[1792, 43, 64, 43]",1
Train_1244.jpg,"[0, 86, 64, 43]",1
Train_563.jpg,"[64, 86, 64, 43]",1
Train_764.jpg,"[128, 86, 64, 43]",1
Train_1022.jpg,"[192, 86, 64, 43]",1
Train_1430.jpg,"[320, 86, 64, 43]",1
Train_1324.jpg,"[384, 86, 64, 43]",1
Train_172.jpg,"[448, 86, 64, 43]",1
Train_1697.jpg,"[512, 86, 64, 43]",0
Train_1070.jpg,"[576, 86, 64, 43]",1
Train_969.jpg,"[640, 86, 64, 43]",0
Train_338.jpg,"[704, 86, 64, 43]",1
Train_1046.jpg,"[896, 86, 64, 43]",1
Train_261.jpg,"[960, 86, 64, 43]",0
Train_1216.jpg,"[1024, 86, 64, 43]",1
Train_57.jpg,"[1088, 86, 64, 43]",1
Train_1667.jpg,"[1152, 86, 64, 43]",0
Train_286.jpg,"[1216, 86, 64, 43]",1
Train_1157.jpg,"[1280, 86, 64, 43]",1
Train_184.jpg,"[1408, 86, 64, 43]",1
Train_1332.jpg,"[1536, 86, 64, 43]",1
Train_949.jpg,"[1600, 86, 64, 43]",1
Train_282.jpg,"[1792, 86, 64, 43]",0
Train_471.jpg,"[0, 129, 64, 43]",1
Train_662.jpg,"[64, 129, 64, 43]",1
Train_1562.jpg,"[128, 129, 64, 43]",0
Train_1531.jpg,"[192, 129, 64, 43]",1
Train_1061.jpg,"[320, 129, 64, 43]",1
Train_205.jpg,"[384, 129, 64, 43]",1
Train_1641.jpg,"[512, 129, 64, 43]",1
Train_819.jpg,"[576, 129, 64, 43]",1
Train_170.jpg,"[704, 129, 64, 43]",1
Train_1618.jpg,"[896, 129, 64, 43]",1
Train_1374.jpg,"[960, 129, 64, 43]",1
Train_25.jpg,"[1024, 129, 64, 43]",1
Train_1349.jpg,"[1088, 129, 64, 43]",0
Train_1573.jpg,"[1152, 129, 64, 43]",1
Train_13.jpg,"[1280, 129, 64, 43]",0
Train_1646.jpg,"[1344, 129, 64, 43]",0
Train_343.jpg,"[1408, 129, 64, 43]",1
Train_1577.jpg,"[1472, 129, 64, 43]",1
Train_688.jpg,"[1536, 129, 64, 43]",1
Train_1592.jpg,"[1664, 129, 64, 43]",1
Train_428.jpg,"[1728, 129, 64, 43]",1
Train_440.jpg,"[1792, 129, 64, 43]",1
Train_1089.jpg,"[0, 172, 64, 43]",1
Train_1695.jpg,"[64, 172, 64, 43]",1
Train_1550.jpg,"[192, 172, 64, 43]",1
Train_411.jpg,"[256, 172, 64, 43]",1
Train_175.jpg,"[320, 172, 64, 43]",0
Train_1804.jpg,"[384, 172, 64, 43]",1
Train_262.jpg,"[448, 172, 64, 43]",1
Train_97.jpg,"[512, 172, 64, 43]",1
Train_356.jpg,"[576, 172, 64, 43]",0
Train_36.jpg,"[704, 172, 64, 43]",1
Train_27.jpg,"[768, 172, 64, 43]",1
Train_716.jpg,"[832, 172, 64, 43]",1
Train_1708.jpg,"[896, 172, 64, 43]",1
Train_6.jpg,"[960, 172, 64, 43]",1
Train_421.jpg,"[1024, 172, 64, 43]",0
Train_384.jpg,"[1152, 172, 64, 43]",1
Train_1008.jpg,"[1216, 172, 64, 43]",1
Train_304.jpg,"[1280, 172, 64, 43]",0
Train_855.jpg,"[1408, 172, 64, 43]",1
Train_814.jpg,"[1472, 172, 64, 43]",1
Train_1245.jpg,"[1536, 172, 64, 43]",0
Train_839.jpg,"[1600, 172, 64, 43]",0
Train_160.jpg,"[1664, 172, 64, 43]",1
Train_1375.jpg,"[1792, 172, 64, 43]",1
Train_905.jpg,"[0, 215, 64, 43]",1
Train_817.jpg,"[64, 215, 64, 43]",0
Train_732.jpg,"[128, 215, 64, 43]",1
Train_762.jpg,"[192, 215, 64, 43]",1
Train_1342.jpg,"[256, 215, 64, 43]",1
Train_807.jpg,"[320, 215, 64, 43]",0
Train_154.jpg,"[384, 215, 64, 43]",1
Train_265.jpg,"[448, 215, 64, 43]",0
Train_754.jpg,"[576, 215, 64, 43]",1
Train_656.jpg,"[640, 215, 64, 43]",1
Train_373.jpg,"[704, 215, 64, 43]",0
Train_1415.jpg,"[768, 215, 64, 43]",0
Train_258.jpg,"[896, 215, 64, 43]",1
Train_74.jpg,"[960, 215, 64, 43]",1
Train_1488.jpg,"[1024, 215, 64, 43]",1
Train_629.jpg,"[1152, 215, 64, 43]",1
Train_965.jpg,"[1280, 215, 64, 43]",1
Train_1211.jpg,"[1344, 215, 64, 43]",1
Train_287.jpg,"[1536, 215, 64, 43]",0
Train_222.jpg,"[1664, 215, 64, 43]",1
Train_543.jpg,"[1728, 215, 64, 43]",1
Train_1556.jpg,"[0, 258, 64, 43]",0
Train_1270.jpg,"[64, 258, 64, 43]",1
Train_1364.jpg,"[192, 258, 64, 43]",1
Train_1459.jpg,"[384, 258, 64, 43]",0
Train_1129.jpg,"[448, 258, 64, 43]",1
Train_113.jpg,"[512, 258, 64, 43]",1
Train_1723.jpg,"[640, 258, 64, 43]",0
Train_1268.jpg,"[704, 258, 64, 43]",1
Train_1330.jpg,"[768, 258, 64, 43]",1
Train_1390.jpg,"[832, 258, 64, 43]",1
Train_1117.jpg,"[896, 258, 64, 43]",0
Train_1102.jpg,"[960, 258, 64, 43]",1
Train_750.jpg,"[1024, 258, 64, 43]",1
Train_436.jpg,"[1152, 258, 64, 43]",1
Train_1584.jpg,"[1216, 258, 64, 43]",1
Train_533.jpg,"[1344, 258, 64, 43]",1
Train_708.jpg,"[1408, 258, 64, 43]",1
Train_195.jpg,"[1472, 258, 64, 43]",0
Train_306.jpg,"[1600, 258, 64, 43]",1
Train_63.jpg,"[1664, 258, 64, 43]",0
Train_435.jpg,"[1728, 258, 64, 43]",1
Train_1664.jpg,"[1792, 258, 64, 43]",1
Train_1054.jpg,"[64, 301, 64, 43]",0
Train_493.jpg,"[192, 301, 64, 43]",1
Train_1716.jpg,"[256, 301, 64, 43]",1
Train_310.jpg,"[320, 301, 64, 43]",1
Train_438.jpg,"[384, 301, 64, 43]",0
Train_645.jpg,"[512, 301, 64, 43]",1
Train_956.jpg,"[576, 301, 64, 43]",0
Train_834.jpg,"[640, 301, 64, 43]",0
Train_1358.jpg,"[704, 301, 64, 43]",1
Train_936.jpg,"[768, 301, 64, 43]",1
Train_1295.jpg,"[832, 301, 64, 43]",1
Train_1.jpg,"[896, 301, 64, 43]",1
Train_64.jpg,"[960, 301, 64, 43]",1
Train_562.jpg,"[1024, 301, 64, 43]",0
Train_1396.jpg,"[1088, 301, 64, 43]",0
Train_1817.jpg,"[1152, 301, 64, 43]",0
Train_1310.jpg,"[1216, 301, 64, 43]",1
Train_273.jpg,"[1280, 301, 64, 43]",0
Train_347.jpg,"[1344, 301, 64, 43]",1
Train_1720.jpg,"[1408, 301, 64, 43]",1
Train_1161.jpg,"[1472, 301, 64, 43]",1
Train_1354.jpg,"[1664, 301, 64, 43]",0
Train_1291.jpg,"[1728, 301, 64, 43]",1
Train_1343.jpg,"[1792, 301, 64, 43]",1
Train_1514.jpg,"[0, 344, 64, 43]",1
Train_142.jpg,"[64, 344, 64, 43]",1
Train_680.jpg,"[128, 344, 64, 43]",1
Train_602.jpg,"[192, 344, 64, 43]",1
Train_988.jpg,"[320, 344, 64, 43]",1
Train_1750.jpg,"[384, 344, 64, 43]",0
Train_1453.jpg,"[448, 344, 64, 43]",1
Train_95.jpg,"[576, 344, 64, 43]",1
Train_1389.jpg,"[704, 344, 64, 43]",0
Train_1180.jpg,"[768, 344, 64, 43]",0
Train_689.jpg,"[832, 344, 64, 43]",1
Train_1208.jpg,"[960, 344, 64, 43]",1
Train_892.jpg,"[1024, 344, 64, 43]",1
Train_1676.jpg,"[1152, 344, 64, 43]",0
Train_630.jpg,"[1216, 344, 64, 43]",0
Train_121.jpg,"[1280, 344, 64, 43]",1
Train_999.jpg,"[1344, 344, 64, 43]",1
Train_1454.jpg,"[1408, 344, 64, 43]",1
Train_475.jpg,"[1472, 344, 64, 43]",0
Train_409.jpg,"[1536, 344, 64, 43]",1
Train_1013.jpg,"[1600, 344, 64, 43]",1
Train_158.jpg,"[1664, 344, 64, 43]",1
Train_847.jpg,"[1728, 344, 64, 43]",1
Train_793.jpg,"[1792, 344, 64, 43]",1
Train_1218.jpg,"[0, 387, 64, 43]",1
Train_1028.jpg,"[64, 387, 64, 43]",1
Train_598.jpg,"[128, 387, 64, 43]",1
Train_857.jpg,"[192, 387, 64, 43]",1
Train_1433.jpg,"[256, 387, 64, 43]",1
Train_676.jpg,"[384, 387, 64, 43]",0
Train_231.jpg,"[448, 387, 64, 43]",1
Train_810.jpg,"[512, 387, 64, 43]",1
Train_908.jpg,"[576, 387, 64, 43]",0
Train_500.jpg,"[640, 387, 64, 43]",1
